publishedDate,area,latitude,longitude,median,mean,max,sum,count
1/1/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,13.3,12.9625,24,622.2,50
1/1/2017,GRAVES ES,41.782766,-87.805377,14.5,14.5,14.5,29,2
1/1/2017,IEPA TRAILER,41.965193,-87.876265,16.9,16.9,16.9,16.9,1
1/1/2017,LIBERTY SCHOOL,41.864426,-87.748902,12.3,12.34,19.6,617,50
1/1/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,12.9,12.9,12.9,12.9,1
1/1/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,15.8,15.872,27.4,793.6,50
1/1/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,16.7,17.47916667,28.3,419.5,24
1/1/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,11.8,12.296,26.7,614.8,50
1/1/2017,VILLAGE GARAGE,41.670992,-87.732457,11.1,11.112,15.7,555.6,50
1/1/2017,VILLAGE HALL,41.80118,-87.832349,13.6,13.6,13.6,27.2,4
1/1/2017,WASHINGTON HS,41.687165,-87.539315,14.15,14.15,14.3,56.6,4
1/2/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,17.4,18.81666667,32.1,903.2,48
1/2/2017,LIBERTY SCHOOL,41.864426,-87.748902,20.35,19.0875,26.5,916.2,48
1/2/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,19.15,18.39583333,25,883,48
1/2/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,22.95,22.98333333,32.5,551.6,24
1/2/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,17.6,18.15,30.4,871.2,48
1/2/2017,VILLAGE GARAGE,41.670992,-87.732457,16.65,16.08333333,24.9,772,48
1/3/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,14.4,14.25833333,19.4,684.4,48
1/3/2017,LIBERTY SCHOOL,41.864426,-87.748902,14.2,15.19583333,22.8,729.4,48
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
